duration_ms_x,popularity,track_number,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_class
156293,63,1,0.0251,0.711,0.6629999999999999,0.00727,9,0.246,-7.995,0,0.0997,96.996,0.507,1
222352,40,1,0.614,0.5870000000000001,0.7240000000000001,0.000166,6,0.155,-6.776,1,0.0321,106.993,0.8370000000000001,0
232466,63,4,0.5760000000000001,0.513,0.565,2.9E-05,5,0.134,-8.834,1,0.0351,89.96,0.597,1
226005,62,1,0.066,0.6890000000000001,0.463,0.000152,2,0.145,-8.121,0,0.0365,86.99799999999998,0.8640000000000001,1
299546,60,2,0.0102,0.618,0.546,0.000403,0,0.293,-8.015,1,0.0269,110.049,0.5760000000000001,1
185384,49,2,0.0423,0.672,0.459,0.00198,0,0.104,-6.042999999999998,1,0.0277,155.531,0.604,0
185306,73,6,0.33,0.759,0.436,0.0113,0,0.102,-11.233,0,0.0419,94.03,0.782,1
278769,55,2,0.132,0.6409999999999999,0.8420000000000001,0.91,9,0.419,-7.27,1,0.0292,129.98,0.5,0
223853,64,14,0.403,0.609,0.789,0.0811,11,0.0446,-5.565,1,0.0468,144.047,0.7170000000000001,1
193306,64,3,0.014,0.767,0.6709999999999999,2.27E-05,6,0.171,-5.75,0,0.0589,99.987,0.5870000000000001,1
196214,56,1,0.0177,0.6659999999999999,0.465,0.00143,5,0.199,-9.054,1,0.0345,134.96200000000002,0.462,1
369461,67,1,0.539,0.713,0.725,0.8859999999999999,6,0.111,-9.951,1,0.0385,122.041,0.24,1
173953,65,1,0.0498,0.816,0.464,0.201,9,0.106,-13.297,1,0.034,89.571,0.963,1
170539,51,1,0.168,0.612,0.925,0,0,0.118,-4.493,1,0.0507,87.97,0.462,0
236453,61,1,0.632,0.57,0.61,0.5670000000000001,11,0.099,-7.146,1,0.0347,88.67399999999998,0.504,1
162485,41,5,0.0436,0.518,0.872,0,11,0.24,-6.859,1,0.141,149.961,0.444,0
292418,60,2,0.0667,0.6609999999999999,0.677,0.00905,10,0.13699999999999998,-7.145,0,0.0279,116.59,0.5760000000000001,1
251061,14,1,0.0119,0.626,0.725,0.0675,11,0.0882,-7.782,0,0.177,174.86900000000003,0.633,0
206852,64,1,0.368,0.623,0.508,0.461,2,0.11,-7.855,0,0.0379,169.983,0.629,1
170999,53,1,0.146,0.5579999999999999,0.477,0.000814,11,0.0818,-9.185,1,0.0416,169.99599999999995,0.557,0
300360,57,2,0.935,0.405,0.229,0.0171,2,0.172,-12.334,0,0.0369,78.434,0.18600000000000005,1
219638,70,1,0.03,0.511,0.8059999999999999,0.0465,1,0.252,-6.093,1,0.0481,162.04,0.41,1
378826,58,1,0.0034100000000000003,0.448,0.56,0.0911,7,0.221,-8.363999999999999,1,0.0318,99.107,0.04,1
320328,56,1,0.0371,0.469,0.866,0.921,4,0.183,-5.372000000000001,1,0.0321,131,0.56,1
215605,58,1,0.203,0.7240000000000001,0.524,0.0041600000000000005,0,0.118,-8.06,1,0.0339,121.041,0.7140000000000001,1
231860,58,1,0.0702,0.413,0.7829999999999999,0,4,0.0924,-3.954,1,0.0405,161.821,0.652,1
179976,59,1,0.311,0.728,0.8859999999999999,0.0441,2,0.0834,-8.097999999999999,1,0.0579,145.75,0.8370000000000001,1
307075,59,1,0.00378,0.595,0.7140000000000001,0.405,7,0.242,-8.9,1,0.0277,128.011,0.399,1
250920,52,1,0.262,0.6,0.684,0.0063100000000000005,11,0.125,-6.073,0,0.0711,192.055,0.642,0
265466,53,1,0.00011,0.484,0.754,0.8059999999999999,6,0.123,-6.3260000000000005,0,0.0383,124.971,0.399,0
193063,53,1,0.191,0.723,0.677,0.8420000000000001,7,0.0983,-7.073,0,0.0313,119.986,0.962,0
170013,57,1,0.146,0.622,0.517,0.004229999999999999,8,0.139,-7.607,0,0.0743,80.003,0.525,1
135521,74,1,0.0698,0.742,0.6779999999999999,0,5,0.151,-4.605,0,0.192,115.05,0.927,1
178000,56,2,0.156,0.682,0.6829999999999999,2.32E-05,8,0.273,-6.444,0,0.0287,120.023,0.64,1
272973,59,9,0.0581,0.846,0.363,0.0988,2,0.105,-11.565,1,0.115,96.005,0.5720000000000001,1
227262,63,1,0.445,0.748,0.509,0.00035800000000000003,2,0.165,-7.0920000000000005,1,0.0444,123.976,0.8240000000000001,1
144000,65,1,0.365,0.6729999999999999,0.6409999999999999,0.000253,9,0.136,-9.211,0,0.0451,155.042,0.467,1
296733,56,1,0.222,0.435,0.768,0.0508,9,0.32,-4.327,1,0.0287,101.156,0.4920000000000001,1
278386,56,1,0.259,0.7709999999999999,0.425,0.46,9,0.106,-12.039,1,0.0277,102.613,0.84,1
220800,71,1,0.000621,0.499,0.914,0.529,5,0.117,-4.252,0,0.0511,99.969,0.0789,1
199733,54,1,0.31,0.5670000000000001,0.728,0.875,4,0.218,-6.421,1,0.0279,122.018,0.473,0
190581,60,1,0.0016300000000000002,0.503,0.825,0.000411,10,0.14400000000000002,-5.7860000000000005,1,0.0323,125.825,0.421,1
205026,64,1,0.35600000000000004,0.512,0.544,0.0159,1,0.16899999999999998,-7.9529999999999985,0,0.226,99.927,0.616,1
255554,66,1,0.152,0.7509999999999999,0.614,0.0009880000000000002,11,0.0986,-4.738,0,0.0274,129.953,0.232,1
